#城市名称,区县,分局,热点名称,厂家,型号,AP编号,设备名称,IP地址
衢州,,,,,,qz_xyss4h_1fap1,,10.20.152.194
衢州,,,,,,qz_xyss4h_1fap2,,10.20.152.195
衢州,,,,,,qz_xyss4h_1fap3,,10.20.152.196
衢州,,,,,,qz_xyss4h_1fap4,,10.20.152.197
衢州,,,,,,qz_xyss4h_1fap5,,10.20.152.198
衢州,,,,,,qz_xyss4h_1fap6,,10.20.152.199
衢州,,,,,,qz_xyss4h_1fap7,,10.20.152.230
衢州,,,,,,qz_xyss4h_1fap8,,10.20.152.231
衢州,,,,,,qz_xyss4h_2fap1,,10.20.152.200
衢州,,,,,,qz_xyss4h_2fap2,,10.20.152.201
衢州,,,,,,qz_xyss4h_2fap3,,10.20.152.202
衢州,,,,,,qz_xyss4h_2fap4,,10.20.152.203
衢州,,,,,,qz_xyss4h_2fap5,,10.20.152.204
衢州,,,,,,qz_xyss4h_2fap6,,10.20.152.205
衢州,,,,,,qz_xyss4h_2fap7,,10.20.152.232
衢州,,,,,,qz_xyss4h_2fap8,,10.20.152.233
衢州,,,,,,qz_xyss4h_3fap1,,10.20.152.206
衢州,,,,,,qz_xyss4h_3fap2,,10.20.152.207
衢州,,,,,,qz_xyss4h_3fap3,,10.20.152.208
衢州,,,,,,qz_xyss4h_3fap4,,10.20.152.209
衢州,,,,,,qz_xyss4h_3fap5,,10.20.152.210
衢州,,,,,,qz_xyss4h_3fap6,,10.20.152.211
衢州,,,,,,qz_xyss4h_3fap7,,10.20.152.234
衢州,,,,,,qz_xyss4h_3fap8,,10.20.152.235
衢州,,,,,,qz_xyss4h_4fap1,,10.20.152.212
衢州,,,,,,qz_xyss4h_4fap2,,10.20.152.213
衢州,,,,,,qz_xyss4h_4fap3,,10.20.152.214
衢州,,,,,,qz_xyss4h_4fap4,,10.20.152.215
衢州,,,,,,qz_xyss4h_4fap5,,10.20.152.216
衢州,,,,,,qz_xyss4h_4fap6,,10.20.152.217
衢州,,,,,,qz_xyss4h_4fap7,,10.20.152.236
衢州,,,,,,qz_xyss4h_4fap8,,10.20.152.237
衢州,,,,,,qz_xyss4h_5fap1,,10.20.152.218
衢州,,,,,,qz_xyss4h_5fap2,,10.20.152.219
衢州,,,,,,qz_xyss4h_5fap3,,10.20.152.220
衢州,,,,,,qz_xyss4h_5fap4,,10.20.152.221
衢州,,,,,,qz_xyss4h_5fap5,,10.20.152.222
衢州,,,,,,qz_xyss4h_5fap6,,10.20.152.223
衢州,,,,,,qz_xyss4h_5fap7,,10.20.152.238
衢州,,,,,,qz_xyss4h_5fap8,,10.20.152.239
衢州,,,,,,qz_xyss4h_6fap1,,10.20.152.224
衢州,,,,,,qz_xyss4h_6fap2,,10.20.152.225
衢州,,,,,,qz_xyss4h_6fap3,,10.20.152.226
衢州,,,,,,qz_xyss4h_6fap4,,10.20.152.227
衢州,,,,,,qz_xyss4h_6fap5,,10.20.152.228
衢州,,,,,,qz_xyss4h_6fap6,,10.20.152.229
衢州,,,,,,qz_xyss4h_6fap7,,10.20.152.240
衢州,,,,,,qz_xyss4h_6fap8,,10.20.152.241
