集团编号,HP编号,热点名称,热点类型,地址,省份,地市,县市,所属分局（分公司）,经度,纬度,代维公司,IP地址段,接入方式,热点等级,集成商,业主联系人,联系方式,WLAN干放数量,是否有室分,接入电路编号,POP,业务VLAN,PVLAN,管理VLAN,接入域,端口类型,覆盖区域,AP数量,创建时间,备注,导入编号,所属AC名称,场点名称,热点状态,地标,集团经度,集团纬度,
CT_zj_580d0300265,800303010,岱山岱西双合客运站, 长途汽车站,岱山双合客运站,浙江,舟山市,岱山县,岱山分公司,122.062407,30.293826,金州,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,魏幸淑,15305807947,0,否,,,2068,1003,3024,ZS-DH-NZ-1.domain,以太网,售票大厅以及候车室,2,2010-01-07,,CT_zj_5800330001,贝尔AC38（虚）,,正常热点,岱山岱西双合客运站,,,
CT_zj_580d1300266,800313011,岱山长涂医院, 医院,岱山长涂医院,浙江,舟山市,岱山县,岱山分公司,122.30253,30.25273,金州,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,魏幸淑,15305807947,0,否,,,1006,1023,3024,ZS-DH-NZ-1.domain,以太网,寝室楼及门诊大楼,2,2010-01-07,,CT_zj_5801330006,网件AC6（虚）,,正常热点,岱山长涂医院,,,
CT_zj_580d1200267,800312012,岱山东沙派出所, 政府机关等事业单位,岱山东沙派出所,浙江,舟山市,岱山县,岱山分公司,122.16131,30.30433,金州,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,魏幸淑,15305807947,0,否,,,1007,1023,3027,ZS-DH-NZ-1.domain,以太网,会议室,1,2010-01-07,,CT_zj_5801230002,网件AC6（虚）,,正常热点,岱山东沙派出所,,,
CT_zj_580d1200268,800312013,岱山东沙镇政府, 政府机关等事业单位,岱山东沙镇政府,浙江,舟山市,岱山县,岱山分公司,122.16131,30.30433,金州,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,魏幸淑,15305807947,0,否,,,1008,1023,3027,ZS-DH-NZ-1.domain,以太网,会议室,2,2010-01-07,,CT_zj_5801230003,网件AC6（虚）,,正常热点,岱山东沙镇政府,,,
CT_zj_580d9900269,800399014,岱山高亭蓬莱公园, 其他,岱山高亭蓬莱公园,浙江,舟山市,岱山县,岱山分公司,122.20491,30.24446,金州,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,魏幸淑,15305807947,0,否,,,1009,1023,3025,ZS-DH-NZ-1.domain,以太网,蓬莱公园健身场所,1,2010-01-07,,CT_zj_5809930007,网件AC6（虚）,,正常热点,岱山高亭蓬莱公园,,,
CT_zj_580d0600008,800306015,岱山高亭蓝天宾馆, 宾馆酒店,蓝天宾馆,浙江,舟山市,岱山县,岱山分公司,122.20574,30.24486,金州,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,魏幸淑,15305807947,0,是,,,2069,1003,3024,ZS-DH-NZ-1.domain,以太网,大厅,5,2009-02-09,,CT_zj_5800630014,贝尔AC38（虚）,,正常热点,岱山高亭蓝天宾馆,,,
CT_zj_580d9900270,800399017,岱山高亭沿港东路47号, 其他,岱山高亭沿港东路47号,浙江,舟山市,岱山县,岱山分公司,122.206152,30.240001,金州,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,魏幸淑,15305807947,0,否,,,1010,1023,3025,ZS-DH-NZ-1.domain,以太网,沿港东路47号附近路面,1,2010-01-07,,CT_zj_5809930008,网件AC6（虚）,,正常热点,岱山高亭沿港东路47号,,,
CT_zj_580d0800005,800308019,岱山高亭得法茶楼, 休闲娱乐吧,得法茶楼,浙江,舟山市,岱山县,岱山分公司,122.20053,30.24756,金州,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,魏幸淑,15305807947,0,是,,,1031,1023,3026,ZS-DH-NZ-1.domain,以太网,2F吧台,1,2009-02-09,,CT_zj_5800830002,网件AC6（虚）,,正常热点,岱山高亭得法茶楼,,,
CT_zj_580d0600006,800306020,岱山高亭渔家岙大酒店, 宾馆酒店,渔家岙大酒店,浙江,舟山市,岱山县,岱山分公司,122.21979,30.2447,金州,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,魏幸淑,15305807947,0,是,,,2192,1003,3026,ZS-DH-NZ-1.domain,以太网,大堂吧,1,2009-02-09,,CT_zj_5800630015,贝尔ac44（虚）,,正常热点,岱山高亭渔家岙大酒店,,,
CT_zj_580d0600012,800306025,岱山衢山豪士登大酒店, 宾馆酒店,巨山宾馆,浙江,舟山市,岱山县,岱山分公司,122.28477,30.45078,金州,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,魏幸淑,15305807947,0,是,,,2073,1003,3024,ZS-DH-NZ-1.domain,以太网,大厅,1,2010-01-08,,CT_zj_5800630012,贝尔AC38（虚）,,正常热点,岱山衢山豪士登大酒店,,,
CT_zj_580d9900271,800314026,岱山高亭蓬莱商都, 其他,岱山高亭蓬莱商都,浙江,舟山市,岱山县,岱山分公司,122.19928,30.24614,金州,183.152.192.2-183.152.207.254,光纤,B,工程局FZ,魏幸淑,15305807947,0,否,,,1011,1023,3025,ZS-DH-NZ-1.domain,以太网,步行街,1,2010-01-07,,CT_zj_5809930021,网件AC6（虚）,,正常热点,岱山高亭蓬莱商都,,,
CT_zj_580d1200013,800311027,岱山衢山镇政府, 政府机关等事业单位,巨山镇政府,浙江,舟山市,岱山县,岱山分公司,122.29152,30.45327,金州,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,魏幸淑,15305807947,0,是,,,1033,1023,3024,ZS-DH-NZ-1.domain,以太网,4楼会议室,1,2009-02-09,,CT_zj_5801230011,网件AC6（虚）,,正常热点,岱山衢山镇政府,,,
CT_zj_580d9900272,800399028,岱山高亭房地大楼, 其他,岱山高亭房地大楼,浙江,舟山市,岱山县,岱山分公司,122.19753,30.24487,金州,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,魏幸淑,15305807947,0,否,,,1012,1023,3025,ZS-DH-NZ-1.domain,以太网,步行街房地大楼附近街道,1,2010-01-07,,CT_zj_5809930017,网件AC6（虚）,,正常热点,岱山高亭房地大楼,,,
CT_zj_580a0600016,80013044,定海金三角大酒店, 宾馆酒店,定海区人民南路259号,浙江,舟山市,定海县,定海分公司,122.10365,30.01219,金州,183.152.192.2-183.152.207.254,光纤,C,浙贝,顾磊,15305809609,0,是,,,82,1001,3024,ZS-DH-NZ-1.domain,以太网,全覆盖,6,2009-02-09,,CT_zj_5800610014,贝尔AC38（虚）,,正常热点,定海金三角大酒店,,,
CT_zj_580d1200273,800312029,岱山长涂镇政府, 政府机关等事业单位,岱山长涂镇政府,浙江,舟山市,岱山县,岱山分公司,122.29506,30.2532,金州,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,魏幸淑,15305807947,0,否,,,1013,1023,3024,ZS-DH-NZ-1.domain,以太网,镇政府办公室区域,1,2010-01-07,,CT_zj_5801230004,网件AC6（虚）,,正常热点,岱山长涂镇政府,,,
CT_zj_580d1200274,800312031,岱山长涂交警队, 政府机关等事业单位,岱山长涂交警队,浙江,舟山市,岱山县,岱山分公司,122.30704,30.25377,金州,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,魏幸淑,15305807947,0,否,,,1014,1023,3024,ZS-DH-NZ-1.domain,以太网,宿舍,2,2010-01-07,,CT_zj_5801230006,网件AC6（虚）,,正常热点,岱山长涂交警队,,,
CT_zj_580d1600277,800316034,岱山长涂电信支局, 电信自有,岱山长涂电信支局,浙江,舟山市,岱山县,岱山分公司,122.30339,30.25204,金州,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,营业厅,4712080,0,否,,,1017,1023,3024,ZS-DH-NZ-1.domain,以太网,1F营业大厅,1,2010-01-07,,CT_zj_5801630002,网件AC6（虚）,,正常热点,岱山长涂电信支局,,,
CT_zj_580d1600278,800316035,岱山衢山电信支局营业厅, 电信自有,岱山衢山电信支局,浙江,舟山市,岱山县,岱山分公司,122.29127,30.45208,金州,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,营业厅,4791234,0,否,,,2189,1003,3000,ZS-DH-NZ-1.domain,以太网,营业厅,1,2010-01-07,,CT_zj_5801630003,贝尔ac44（虚）,,正常热点,岱山衢山电信支局营业厅,,,
CT_zj_580d0800026,80031005,岱山高亭绿岛茶座, 休闲娱乐吧,岱山县高亭镇时代广场(南楼401号),浙江,舟山市,岱山县,岱山分公司,122.202304,30.247845,金州,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,魏幸淑,15305807947,0,否,,,2070,1003,3024,ZS-DH-NZ-1.domain,以太网,全覆盖,1,2008-04-17,,CT_zj_5800830003,贝尔AC38（虚）,,正常热点,岱山高亭绿岛茶座,,,
CT_zj_580b1100116,800211052,普陀沈家门东方大酒店, 商务楼,舟山沈家门滨港路50号,浙江,舟山市,普陀县,普陀分公司,122.2947,29.94548,工程局,183.152.192.2-183.152.207.254,光纤,B,浙贝,乐谋勋,15305808705,0,是,,,827,1022,3024,ZS-DH-NZ-1.domain,以太网,全覆盖,5,2009-09-17,,CT_zj_5801120022,网件AC22（虚）,,正常热点,普陀沈家门东方大酒店,,,
CT_zj_580b0600501,800206098,普陀桃花桃花苑宾馆, 宾馆酒店,普陀桃花公前桃源中路,浙江,舟山市,普陀县,普陀分公司,122.27296,29.83433,工程局,183.152.192.2-183.152.207.254,光纤,D,浙贝,乐谋勋,15305808705,0,是,,,661,1022,3024,ZS-DH-NZ-1.domain,以太网,全覆盖,7,2010-05-11,,CT_zj_5800620004,网件AC22（虚）,,正常热点,普陀桃花桃花苑宾馆,,,
CT_zj_580a1600033,800116056,定海电信调度大楼营业厅, 电信自有,定海区人民北路8号,浙江,舟山市,定海县,定海分公司,122.10359,30.02262,金州,183.152.192.2-183.152.207.254,光纤,A,杭贝,营业厅,2043884,0,是,,,2,1001,3000,ZS-DH-NZ-1.domain,以太网,全覆盖,2,2008-04-17,,CT_zj_5801610012,贝尔AC38（虚）,,正常热点,定海电信调度大楼营业厅,,,
CT_zj_580a1500035,80012009,定海宏图三胞, 大型购物广场,定海区文化广场28号,浙江,舟山市,定海县,定海分公司,122.10458,30.01729,金州,183.152.192.2-183.152.207.254,光纤,A,杭贝,顾磊,15305809609,0,是,,,34,1001,3024,ZS-DH-NZ-1.domain,以太网,2F宏图三胞/1F国美电器,1,2008-04-17,,CT_zj_5801510001,贝尔AC38（虚）,,正常热点,定海宏图三胞,,,
CT_zj_580a0300038,80012020,定海长途汽车站候车厅, 长途汽车站,定海区环城南路15号,浙江,舟山市,定海县,定海分公司,122.08686,30.01367,金州,183.152.192.2-183.152.207.254,光纤,A,工程局FZ,顾磊,15305809609,0,否,,,196,1001,3029,ZS-DH-NZ-1.domain,以太网,候车大厅,3,2008-04-17,,CT_zj_5800310004,贝尔AC38（虚）,,正常热点,定海长途汽车站候车厅,,,
CT_zj_580b0600039,80022003,普陀东港渔港城市酒店, 宾馆酒店,普陀区东港街道海洲路495号,浙江,舟山市,普陀县,普陀分公司,122.3198,29.96555,工程局,183.152.192.2-183.152.207.254,光纤,B,瑞达,乐谋勋,15305808705,0,否,,,672,1002,3049,ZS-DH-NZ-1.domain,以太网,大厅,1,2009-12-31,,CT_zj_5800620058,贝尔ac47（虚）,,正常热点,普陀东港渔港城市酒店,,,
CT_zj_580b0600041,80023014,普陀桃花桃花宾馆, 宾馆酒店,普陀区桃花镇公前村,浙江,舟山市,普陀县,普陀分公司,122.27323,29.83524,工程局,183.152.192.2-183.152.207.254,光纤,D,瑞达,乐谋勋,15305808705,0,否,,,660,1022,3024,ZS-DH-NZ-1.domain,以太网,大堂、会议室等,2,2009-12-31,,CT_zj_5800620033,网件AC22（虚）,,正常热点,普陀桃花桃花宾馆,,,
CT_zj_580b0600042,80022017,普陀普陀山大酒店, 宾馆酒店,普陀山梅岑路93号,浙江,舟山市,普陀县,普陀分公司,122.375355,29.98422,工程局,183.152.192.2-183.152.207.254,光纤,D,国人,乐谋勋,15305808705,0,是,,,544,1022,3026,ZS-DH-NZ-1.domain,以太网,地下室会议室,1,2009-12-31,,CT_zj_5800620043,网件AC22（虚）,,正常热点,普陀普陀山大酒店,,,
CT_zj_580b0600045,800206053,普陀朱家尖海天台宾馆网件, 宾馆酒店,普陀区朱家尖南沙度假村路,浙江,舟山市,普陀县,普陀分公司,122.41147,29.8821,工程局,183.152.192.2-183.152.207.254,光纤,C,国人,乐谋勋,15305808705,0,是,,,678,1022,3033,ZS-DH-NZ-1.domain,以太网,普陀朱家尖海天台宾馆大厅,1,2008-04-17,,CT_zj_5800620036,网件AC22（虚）,,正常热点,普陀朱家尖海天台宾馆网件,,,
