 , , , , , ,无线流量, , ,有线流量, , , ,
区县,分局,热点类型,热点名称,集团编号,AP数量,接收字节数(GB),发送字节数(GB),总字节数(GB),接收字节数(GB),发送字节数(GB),总字节数(GB),统计日期,
,,,合计,,0,233.11,1399.72,1632.83,7354.42,9048.99,16403.41,2013-11-11至2013-11-20,
,,,杭州西湖长征职业技术学院F幢,,0,23.525,144.7,168.22,803.447,1134.912,1938.36,2013-11-11,
,,,杭州西湖长征职业技术学院F幢,,0,25.006,126.472,151.48,952.624,929.136,1881.76,2013-11-12,
,,,杭州西湖长征职业技术学院F幢,,0,26.579,129.574,156.15,849.368,838.609,1687.98,2013-11-13,
,,,杭州西湖长征职业技术学院F幢,,0,25.825,154.945,180.77,803.769,1003.279,1807.05,2013-11-14,
,,,杭州西湖长征职业技术学院F幢,,0,24.293,134.125,158.42,686.395,970.788,1657.18,2013-11-15,
,,,杭州西湖长征职业技术学院F幢,,0,23.275,146.183,169.46,579.148,810.201,1389.35,2013-11-16,
,,,杭州西湖长征职业技术学院F幢,,0,24.899,146.338,171.24,666.121,853.507,1519.63,2013-11-17,
,,,杭州西湖长征职业技术学院F幢,,0,21.876,139.372,161.25,628.347,815.801,1444.15,2013-11-18,
,,,杭州西湖长征职业技术学院F幢,,0,18.458,128.067,146.52,715.987,813.733,1529.72,2013-11-19,
,,,杭州西湖长征职业技术学院F幢,,0,19.375,149.947,169.32,669.214,879.021,1548.24,2013-11-20,
