#城市名称,区县,分局,热点名称,厂家,型号,AP编号,设备名称,IP地址
,,,,,,aoti-xwzx-zoulang-ap1,,10.104.23.48
,,,,,,aoti-xwzx-zoulang-ap2,,10.104.23.47
,,,,,,aoti-xwzx-zoulang-ap3,,10.104.23.49
,,,,,,aoti-xwzx-zoulang-ap4,,10.104.23.51
,,,,,,aoti-xwzx-ap152,,10.104.23.200
,,,,,,aoti-xwzx-ap1,,10.104.20.244
,,,,,,aoti-xwzx-ap2,,10.104.23.176
,,,,,,aoti-xwzx-ap3,,10.104.23.175
,,,,,,aoti-xwzx-ap4,,10.104.23.179
,,,,,,aoti-xwzx-ap6,,10.104.23.174
,,,,,,aoti-xwzx-ap7,,10.104.23.195
,,,,,,aoti-xwzx-ap8,,10.104.23.173
,,,,,,aoti-xwzx-ap9,,10.104.23.178
,,,,,,aoti-xwzx-ap10,,10.104.23.118
,,,,,,aoti-xwzx-ap11,,10.104.23.117
,,,,,,aoti-xwzx-ap12,,10.104.23.116
,,,,,,aoti-xwzx-ap13,,10.104.23.115
,,,,,,aoti-xwzx-ap14,,10.104.23.114
,,,,,,aoti-xwzx-ap15,,10.104.23.119
,,,,,,aoti-xwzx-ap16,,10.104.23.120
,,,,,,aoti-xwzx-ap17,,10.104.23.121
,,,,,,aoti-xwzx-ap18,,10.104.23.134
,,,,,,aoti-xwzx-ap19,,10.104.23.71
,,,,,,aoti-xwzx-ap20,,10.104.23.74
,,,,,,aoti-xwzx-ap21,,10.104.23.75
,,,,,,aoti-xwzx-ap22,,10.104.23.147
,,,,,,aoti-xwzx-ap23,,10.104.23.72
,,,,,,aoti-xwzx-ap24,,10.104.23.73
,,,,,,aoti-xwzx-ap25,,10.104.23.76
,,,,,,aoti-xwzx-ap26,,10.104.23.186
,,,,,,aoti-xwzx-ap28,,10.104.23.182
,,,,,,aoti-xwzx-ap29,,10.104.23.185
,,,,,,aoti-xwzx-ap30,,10.104.23.190
,,,,,,aoti-xwzx-ap31,,10.104.23.188
,,,,,,aoti-xwzx-ap32,,10.104.23.187
,,,,,,aoti-xwzx-ap33,,10.104.23.183
,,,,,,aoti-xwzx-ap34,,10.104.23.184
